bu_naam,bu_code,parkeren_sqm,auto_sqm,fiets_sqm,voet_sqm,parkeren_pct,auto_pct,voet_pct,fiets_pct,id_1,id_0,id,wk_code,gm_code,gm_naam,ind_wbi,water,postcode,dek_perc,oad,sted,aant_inw,aant_man,aant_vrouw,p_00_14_jr,p_15_24_jr,p_25_44_jr,p_45_64_jr,p_65_eo_jr,p_ongehuwd,p_gehuwd,p_gescheid,p_verweduw,aantal_hh,p_eenp_hh,p_hh_z_k,p_hh_m_k,gem_hh_gr,p_west_al,p_n_w_al,p_marokko,p_ant_aru,p_surinam,p_turkije,p_over_nw,voet_fiet_pct
Verspreide huizen Beusichem en Zoelmond,BU02140109,9149,181510,1521,9586,0.05,0.9,0.05,0.01,"1","1",2381,WK021401,GM0214,Buren,1,NEE,"4112",2,251,5,480,260,220,13,16,16,40,15,40,51,5,4,185,19,35,46,2.6,4,1,-99999999,-99999999,-99999999,-99999999,-99999999,0.06
Verspreide huizen IJssel en Oude IJssel,BU02210110,212,10973,11281,2689,0.01,0.44,0.11,0.45,"2","2",2427,WK022101,GM0221,Doesburg,1,NEE,"6982",3,542,4,20,5,15,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,10,45,27,27,2.1,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.56
De Veenen,BU02284032,0,121698,3455,3533,0,0.95,0.03,0.03,"3","3",2594,WK022840,GM0228,Ede,1,NEE,"6741",1,64,5,470,255,220,21,21,18,29,11,51,43,3,3,130,15,24,61,3.5,2,0,-99999999,-99999999,-99999999,-99999999,-99999999,0.06
Deest,BU02250301,8955,57878,213,24764,0.1,0.63,0.27,0,"4","4",2523,WK022503,GM0225,Druten,1,NEE,"6653",1,253,5,1660,855,805,14,9,24,32,21,41,46,7,6,750,28,37,35,2.2,6,3,0,1,0,1,2,0.27
Westeneng,BU02287031,90,196263,21608,1325,0,0.9,0.01,0.1,"5","5",2604,WK022870,GM0228,Ede,1,NEE,"6732",1,67,5,1310,675,635,25,21,19,24,11,53,42,2,4,345,18,23,60,3.8,0,0,-99999999,-99999999,-99999999,-99999999,-99999999,0.11
Verspreide huizen Doornspijk-West,BU02300306,1687,117773,2563,3506,0.01,0.94,0.03,0.02,"6","6",2629,WK023003,GM0230,Elburg,1,NEE,"8085",1,142,5,690,370,315,22,18,23,25,12,47,48,3,2,210,15,29,56,3.2,1,1,0,0,0,0,1,0.05
Verspreide huizen Oene,BU02320108,3100,203206,4675,2317,0.01,0.95,0.01,0.02,"7","7",2641,WK023201,GM0232,Epe,1,NEE,"8167",3,66,5,1285,655,625,18,15,19,34,15,44,49,4,4,440,17,34,49,2.9,4,1,0,0,0,0,1,0.03
Meteren e.o.,BU02360403,2016,191753,2627,6109,0.01,0.95,0.03,0.01,"8","8",2703,WK023604,GM0236,Geldermalsen,1,NEE,"4194",1,197,5,235,120,115,22,11,21,32,14,46,49,2,3,75,12,37,51,3,4,0,-99999999,-99999999,-99999999,-99999999,-99999999,0.04
Vogelwaard,BU02430805,6672,52478,16382,18806,0.07,0.56,0.2,0.17,"9","9",2726,WK024308,GM0243,Harderwijk,1,NEE,"3844",1,1338,3,1225,620,600,20,12,24,32,12,43,47,8,2,465,18,35,47,2.6,8,6,0,1,0,2,3,0.37
Lorentz I,BU02431301,13036,101186,11679,15889,0.09,0.71,0.11,0.08,"10","10",2754,WK024313,GM0243,Harderwijk,1,NEE,"3846",1,721,4,55,35,20,19,17,45,12,7,69,17,7,7,30,66,6,28,1.8,19,3,-99999999,-99999999,-99999999,-99999999,-99999999,0.19
